,I_p_0.005,I_p_0.007,I_p_0.01,I_p_0.05,I_predict,R_p_0.005,R_p_0.007,R_p_0.01,R_p_0.05,R_predict,S_p_0.005,S_p_0.007,S_p_0.01,S_p_0.05,V_p_0.005,V_p_0.007,V_p_0.01,V_p_0.05,beta,gamma,Region,Population,Date,I_actual,R_actual,S_actual,index,Confirmed,Deceased,Recovered,totalConfirmed,totalFatalities,totalRecovered
194,946.8613749597106,946.8613749597106,946.8613749597106,946.8613749597106,946.8613749597106,2820489.038434641,2820489.038434641,2820489.038434641,2820489.038434641,2820489.038434641,1367853272.8998094,1367853272.8998094,1367853272.8998094,1367853272.8998094,0.0,0.0,0.0,0.0,0.0859872293725652,0.11558948538097795,India,1371360351,2020-09-24,970758.0,4844717.0,4844717.0,194.0,85921.0,1144.0,81142.0,5815475.0,91733.0,4752984.0
195,753.923553221297,753.923553221297,753.923553221297,753.923553221297,753.923553221297,2820599.2824372044,2820599.2824372044,2820599.2824372044,2820599.2824372044,2820599.2824372044,1367853190.20599,1367853190.20599,1367853190.20599,1367853190.20599,0.0,0.0,0.0,0.0,0.0875585829285881,0.1164309850195582,India,1371360351,2020-09-25,962051.0,4939141.0,4939141.0,195.0,85717.0,1093.0,93331.0,5901192.0,92826.0,4846315.0
196,600.2103667353151,600.2103667353151,600.2103667353151,600.2103667353151,600.2103667353151,2820686.9200886707,2820686.9200886707,2820686.9200886707,2820686.9200886707,2820686.9200886707,1367853124.130455,1367853124.130455,1367853124.130455,1367853124.130455,0.0,0.0,0.0,0.0,0.08786693517406616,0.11624209257289712,India,1371360351,2020-09-26,957321.0,5032630.0,5032630.0,196.0,88759.0,1124.0,92365.0,5989951.0,93950.0,4938680.0
197,478.98920829547643,478.98920829547643,478.98920829547643,478.98920829547643,478.98920829547643,2820757.6817703485,2820757.6817703485,2820757.6817703485,2820757.6817703485,2820757.6817703485,1367853073.6709783,1367853073.6709783,1367853073.6709783,1367853073.6709783,0.0,0.0,0.0,0.0,0.08428520992427613,0.11789480088863324,India,1371360351,2020-09-27,964360.0,5108361.0,5108361.0,197.0,82770.0,1040.0,74691.0,6072721.0,94990.0,5013371.0
198,383.72467687319613,383.72467687319613,383.72467687319613,383.72467687319613,383.72467687319613,2820814.7203977625,2820814.7203977625,2820814.7203977625,2820814.7203977625,2820814.7203977625,1367853035.4450743,1367853035.4450743,1367853035.4450743,1367853035.4450743,0.0,0.0,0.0,0.0,0.08000998230073056,0.11908123695938876,India,1371360351,2020-09-28,948056.0,5194334.0,5194334.0,198.0,69669.0,775.0,85198.0,6142390.0,95765.0,5098569.0
199,306.6425916449813,306.6425916449813,306.6425916449813,306.6425916449813,306.6425916449813,2820860.750869232,2820860.750869232,2820860.750869232,2820860.750869232,2820860.750869232,1367853004.3934605,1367853004.3934605,1367853004.3934605,1367853004.3934605,0.0,0.0,0.0,0.0,0.08112908853372613,0.11995702711886125,India,1371360351,2020-09-29,941228.0,5281662.0,5281662.0,199.0,80500.0,1178.0,86150.0,6222890.0,96943.0,5184719.0
200,244.21707485328312,244.21707485328312,244.21707485328312,244.21707485328312,244.21707485328312,2820897.560264656,2820897.560264656,2820897.560264656,2820897.560264656,2820897.560264656,1367852978.7773392,1367852978.7773392,1367852978.7773392,1367852978.7773392,0.0,0.0,0.0,0.0,0.08375158903200017,0.12004006105625714,India,1371360351,2020-09-30,941523.0,5368115.0,5368115.0,200.0,86748.0,1179.0,85274.0,6309638.0,98122.0,5269993.0
201,194.06640603239464,194.06640603239464,194.06640603239464,194.06640603239464,194.06640603239464,2820927.074381092,2820927.074381092,2820927.074381092,2820927.074381092,2820927.074381092,1367852958.140787,1367852958.140787,1367852958.140787,1367852958.140787,0.0,0.0,0.0,0.0,0.08471753046792857,0.12085197750467572,India,1371360351,2020-10-01,943477.0,5447945.0,5447945.0,201.0,81784.0,1099.0,78731.0,6391422.0,99221.0,5348724.0
202,153.87409688312604,153.87409688312604,153.87409688312604,153.87409688312604,153.87409688312604,2820950.80204005,2820950.80204005,2820950.80204005,2820950.80204005,2820950.80204005,1367852941.6761367,1367852941.6761367,1367852941.6761367,1367852941.6761367,0.0,0.0,0.0,0.0,0.08505783414459925,0.12226566896684943,India,1371360351,2020-10-02,945953.0,5525352.0,5525352.0,202.0,79883.0,1068.0,76339.0,6471305.0,100289.0,5425063.0
203,121.66344492358505,121.66344492358505,121.66344492358505,121.66344492358505,121.66344492358505,2820969.773698062,2820969.773698062,2820969.773698062,2820969.773698062,2820969.773698062,1367852928.4371428,1367852928.4371428,1367852928.4371428,1367852928.4371428,0.0,0.0,0.0,0.0,0.08625844937654223,0.12329338333389071,India,1371360351,2020-10-03,938840.0,5607944.0,5607944.0,203.0,75479.0,937.0,81655.0,6546784.0,101226.0,5506718.0
204,96.55075226664519,96.55075226664519,96.55075226664519,96.55075226664519,96.55075226664519,2820984.8272972964,2820984.8272972964,2820984.8272972964,2820984.8272972964,2820984.8272972964,1367852918.3780494,1367852918.3780494,1367852918.3780494,1367852918.3780494,0.0,0.0,0.0,0.0,0.08289167519149071,0.12373148930542757,India,1371360351,2020-10-04,935994.0,5685560.0,5685560.0,204.0,74770.0,903.0,76713.0,6621554.0,102129.0,5583431.0
205,76.85235588584032,76.85235588584032,76.85235588584032,76.85235588584032,76.85235588584032,2820996.891232862,2820996.891232862,2820996.891232862,2820996.891232862,2820996.891232862,1367852910.7435884,1367852910.7435884,1367852910.7435884,1367852910.7435884,0.0,0.0,0.0,0.0,0.0792747527212661,0.12494916178963185,India,1371360351,2020-10-05,919383.0,5762301.0,5762301.0,205.0,60130.0,886.0,75855.0,6681684.0,103015.0,5659286.0
206,61.1370420981751,61.1370420981751,61.1370420981751,61.1370420981751,61.1370420981751,2821006.5424952544,2821006.5424952544,2821006.5424952544,2821006.5424952544,2821006.5424952544,1367852904.679537,1367852904.679537,1367852904.679537,1367852904.679537,0.0,0.0,0.0,0.0,0.07910753977195904,0.12558186773779348,India,1371360351,2020-10-06,908317.0,5845236.0,5845236.0,206.0,71869.0,990.0,81945.0,6753553.0,104005.0,5741231.0
207,48.335088564828,48.335088564828,48.335088564828,48.335088564828,48.335088564828,2821014.3306502183,2821014.3306502183,2821014.3306502183,2821014.3306502183,2821014.3306502183,1367852899.6657386,1367852899.6657386,1367852899.6657386,1367852899.6657386,0.0,0.0,0.0,0.0,0.0822194658390364,0.1273884816205763,India,1371360351,2020-10-07,902954.0,5929408.0,5929408.0,207.0,78809.0,963.0,83209.0,6832362.0,104968.0,5824440.0
208,38.1944599380946,38.1944599380946,38.1944599380946,38.1944599380946,38.1944599380946,2821020.484495967,2821020.484495967,2821020.484495967,2821020.484495967,2821020.484495967,1367852895.6789558,1367852895.6789558,1367852895.6789558,1367852895.6789558,0.0,0.0,0.0,0.0,0.08269366859493425,0.1273163230141976,India,1371360351,2020-10-08,894039.0,6009120.0,6009120.0,208.0,70797.0,967.0,78745.0,6903159.0,105935.0,5903185.0
209,30.09860251261609,30.09860251261609,30.09860251261609,30.09860251261609,30.09860251261609,2821025.394846085,2821025.394846085,2821025.394846085,2821025.394846085,2821025.394846085,1367852892.4934485,1367852892.4934485,1367852892.4934485,1367852892.4934485,0.0,0.0,0.0,0.0,0.08361620000818615,0.12856184184868436,India,1371360351,2020-10-09,883787.0,6092677.0,6092677.0,209.0,73305.0,929.0,82628.0,6976464.0,106864.0,5985813.0
210,23.665352776564884,23.665352776564884,23.665352776564884,23.665352776564884,23.665352776564884,2821029.288312049,2821029.288312049,2821029.288312049,2821029.288312049,2821029.288312049,1367852889.9536648,1367852889.9536648,1367852889.9536648,1367852889.9536648,0.0,0.0,0.0,0.0,0.08459848935329409,0.12935703451827238,India,1371360351,2020-10-10,868260.0,6182622.0,6182622.0,210.0,74418.0,921.0,89024.0,7050882.0,107785.0,6074837.0
211,18.634970715139424,18.634970715139424,18.634970715139424,18.634970715139424,18.634970715139424,2821032.379991687,2821032.379991687,2821032.379991687,2821032.379991687,2821032.379991687,1367852888.0149624,1367852888.0149624,1367852888.0149624,1367852888.0149624,0.0,0.0,0.0,0.0,0.08213161580774864,0.1306416036609239,India,1371360351,2020-10-11,863671.0,6255000.0,6255000.0,211.0,67789.0,813.0,71565.0,7118671.0,108598.0,6146402.0
212,14.7338629389599,14.7338629389599,14.7338629389599,14.7338629389599,14.7338629389599,2821034.834807032,2821034.834807032,2821034.834807032,2821034.834807032,2821034.834807032,1367852886.56867,1367852886.56867,1367852886.56867,1367852886.56867,0.0,0.0,0.0,0.0,0.07781074903634339,0.1317316449050872,India,1371360351,2020-10-12,838858.0,6334075.0,6334075.0,212.0,54262.0,710.0,78365.0,7172933.0,109308.0,6224767.0
213,11.637133551058694,11.637133551058694,11.637133551058694,11.637133551058694,11.637133551058694,2821036.7796521094,2821036.7796521094,2821036.7796521094,2821036.7796521094,2821036.7796521094,1367852885.4167857,1367852885.4167857,1367852885.4167857,1367852885.4167857,0.0,0.0,0.0,0.0,0.07837985124638758,0.13199831475222434,India,1371360351,2020-10-13,827769.0,6408881.0,6408881.0,213.0,63717.0,727.0,74079.0,7236650.0,110035.0,6298846.0
214,9.159433851785497,9.159433851785497,9.159433851785497,9.159433851785497,9.159433851785497,2821038.329962628,2821038.329962628,2821038.329962628,2821038.329962628,2821038.329962628,1367852884.4893966,1367852884.4893966,1367852884.4893966,1367852884.4893966,0.0,0.0,0.0,0.0,0.07989658275004757,0.13322099568111023,India,1371360351,2020-10-14,813308.0,6491153.0,6491153.0,214.0,67811.0,690.0,81582.0,7304461.0,110725.0,6380428.0
215,7.189817905452367,7.189817905452367,7.189817905452367,7.189817905452367,7.189817905452367,2821039.5607871115,2821039.5607871115,2821039.5607871115,2821039.5607871115,2821039.5607871115,1367852883.750605,1367852883.750605,1367852883.750605,1367852883.750605,0.0,0.0,0.0,0.0,0.08086590217680498,0.1343777905125706,India,1371360351,2020-10-15,805075.0,6562827.0,6562827.0,215.0,63441.0,882.0,70792.0,7367902.0,111607.0,6451220.0
216,5.629408841132395,5.629408841132395,5.629408841132395,5.629408841132395,5.629408841132395,2821040.5335182734,2821040.5335182734,2821040.5335182734,2821040.5335182734,2821040.5335182734,1367852883.1629272,1367852883.1629272,1367852883.1629272,1367852883.1629272,0.0,0.0,0.0,0.0,0.08194711491175272,0.13529287873623588,India,1371360351,2020-10-16,795971.0,6634235.0,6634235.0,216.0,62304.0,840.0,70568.0,7430206.0,112447.0,6521788.0
