,I_p_0.005,I_p_0.007,I_p_0.01,I_p_0.05,I_predict,R_p_0.005,R_p_0.007,R_p_0.01,R_p_0.05,R_predict,S_p_0.005,S_p_0.007,S_p_0.01,S_p_0.05,V_p_0.005,V_p_0.007,V_p_0.01,V_p_0.05,beta,gamma,Region,Population,Date,I_actual,R_actual,S_actual,index,Confirmed,Deceased,Recovered,totalConfirmed,totalFatalities,totalRecovered
50,29553.0,29553.0,29553.0,29553.0,29553.0,13226.0,13226.0,13226.0,13226.0,13226.0,1371317572.0,1371317572.0,1371317572.0,1371317572.0,0.0,0.0,0.0,0.0,0.08279383789288097,0.03749804673070862,India,1371360351,2020-05-03,29553.0,13226.0,13226.0,50.0,2952.0,140.0,911.0,42779.0,1463.0,11763.0
51,32024.0,32024.0,32024.0,32024.0,32024.0,14411.0,14411.0,14411.0,14411.0,14411.0,1371313916.0,1371313916.0,1371313916.0,1371313916.0,0.0,0.0,0.0,0.0,0.1060823290229338,0.0380824163777628,India,1371360351,2020-05-04,32024.0,14411.0,14411.0,51.0,3656.0,103.0,1082.0,46435.0,1566.0,12845.0
52,33572.0,33572.0,33572.0,33572.0,33572.0,15834.0,15834.0,15834.0,15834.0,15834.0,1371310945.0,1371310945.0,1371310945.0,1371310945.0,0.0,0.0,0.0,0.0,0.09339824636753943,0.03688520779722304,India,1371360351,2020-05-05,33572.0,15834.0,15834.0,52.0,2971.0,128.0,1295.0,49406.0,1694.0,14140.0
53,35922.0,35922.0,35922.0,35922.0,35922.0,17086.0,17086.0,17086.0,17086.0,17086.0,1371307343.0,1371307343.0,1371307343.0,1371307343.0,0.0,0.0,0.0,0.0,0.10033009838719815,0.038549757086740376,India,1371360351,2020-05-06,35922.0,17086.0,17086.0,53.0,3602.0,91.0,1161.0,53008.0,1785.0,15301.0
54,37687.0,37687.0,37687.0,37687.0,37687.0,18665.0,18665.0,18665.0,18665.0,18665.0,1371303999.0,1371303999.0,1371303999.0,1371303999.0,0.0,0.0,0.0,0.0,0.10046365774808687,0.035564711926463315,India,1371360351,2020-05-07,37687.0,18665.0,18665.0,54.0,3344.0,104.0,1475.0,56352.0,1889.0,16776.0
55,39818.0,39818.0,39818.0,39818.0,39818.0,19873.0,19873.0,19873.0,19873.0,19873.0,1371300660.0,1371300660.0,1371300660.0,1371300660.0,0.0,0.0,0.0,0.0,0.09906327607993079,0.03881509665664004,India,1371360351,2020-05-08,39818.0,19873.0,19873.0,55.0,3339.0,97.0,1111.0,59691.0,1986.0,17887.0
56,41464.0,41464.0,41464.0,41464.0,41464.0,21402.0,21402.0,21402.0,21402.0,21402.0,1371297485.0,1371297485.0,1371297485.0,1371297485.0,0.0,0.0,0.0,0.0,0.09332052923789741,0.03501052111091019,India,1371360351,2020-05-09,41464.0,21402.0,21402.0,56.0,3175.0,115.0,1414.0,62866.0,2101.0,19301.0
57,43994.0,43994.0,43994.0,43994.0,43994.0,23183.0,23183.0,23183.0,23183.0,23183.0,1371293174.0,1371293174.0,1371293174.0,1371293174.0,0.0,0.0,0.0,0.0,0.0994060721186926,0.03773315646917802,India,1371360351,2020-05-10,43994.0,23183.0,23183.0,57.0,4311.0,112.0,1669.0,67177.0,2213.0,20970.0
58,45926.0,45926.0,45926.0,45926.0,45926.0,24843.0,24843.0,24843.0,24843.0,24843.0,1371289582.0,1371289582.0,1371289582.0,1371289582.0,0.0,0.0,0.0,0.0,0.08915781785406117,0.037827554204828036,India,1371360351,2020-05-11,45926.0,24843.0,24843.0,58.0,3592.0,81.0,1579.0,70769.0,2294.0,22549.0
59,47463.0,47463.0,47463.0,47463.0,47463.0,26868.0,26868.0,26868.0,26868.0,26868.0,1371286020.0,1371286020.0,1371286020.0,1371286020.0,0.0,0.0,0.0,0.0,0.09939534919738413,0.037279733709884195,India,1371360351,2020-05-12,47463.0,26868.0,26868.0,59.0,3562.0,120.0,1905.0,74331.0,2414.0,24454.0
60,49089.0,49089.0,49089.0,49089.0,49089.0,28968.0,28968.0,28968.0,28968.0,28968.0,1371282294.0,1371282294.0,1371282294.0,1371282294.0,0.0,0.0,0.0,0.0,0.07603172000889716,0.04286391962991687,India,1371360351,2020-05-13,49089.0,28968.0,28968.0,60.0,3726.0,137.0,1963.0,78057.0,2551.0,26417.0
61,51389.0,51389.0,51389.0,51389.0,51389.0,30659.0,30659.0,30659.0,30659.0,30659.0,1371278303.0,1371278303.0,1371278303.0,1371278303.0,0.0,0.0,0.0,0.0,0.0717231371314092,0.041591925455064654,India,1371360351,2020-05-14,51389.0,30659.0,30659.0,61.0,3991.0,97.0,1594.0,82048.0,2648.0,28011.0
62,52859.0,52859.0,52859.0,52859.0,52859.0,32997.0,32997.0,32997.0,32997.0,32997.0,1371274495.0,1371274495.0,1371274495.0,1371274495.0,0.0,0.0,0.0,0.0,0.07573650412520008,0.043284571209963985,India,1371360351,2020-05-15,52859.0,32997.0,32997.0,62.0,3808.0,104.0,2234.0,85856.0,2752.0,30245.0
63,53521.0,53521.0,53521.0,53521.0,53521.0,37129.0,37129.0,37129.0,37129.0,37129.0,1371269701.0,1371269701.0,1371269701.0,1371269701.0,0.0,0.0,0.0,0.0,0.08703303142001825,0.04034354922256603,India,1371360351,2020-05-16,53521.0,37129.0,37129.0,63.0,4794.0,120.0,4012.0,90650.0,2872.0,34257.0
64,55880.0,55880.0,55880.0,55880.0,55880.0,39819.0,39819.0,39819.0,39819.0,39819.0,1371264652.0,1371264652.0,1371264652.0,1371264652.0,0.0,0.0,0.0,0.0,0.08896466904092354,0.047052253246692745,India,1371360351,2020-05-17,55880.0,39819.0,39819.0,64.0,5049.0,152.0,2538.0,95699.0,3024.0,36795.0
65,57895.0,57895.0,57895.0,57895.0,57895.0,42432.0,42432.0,42432.0,42432.0,42432.0,1371260024.0,1371260024.0,1371260024.0,1371260024.0,0.0,0.0,0.0,0.0,0.08638806067996613,0.05371592929929023,India,1371360351,2020-05-18,57895.0,42432.0,42432.0,65.0,4628.0,131.0,2482.0,100327.0,3155.0,39277.0
66,60057.0,60057.0,60057.0,60057.0,60057.0,45610.0,45610.0,45610.0,45610.0,45610.0,1371254684.0,1371254684.0,1371254684.0,1371254684.0,0.0,0.0,0.0,0.0,0.07920369143406228,0.04952726066555593,India,1371360351,2020-05-19,60057.0,45610.0,45610.0,66.0,5340.0,146.0,3032.0,105667.0,3301.0,42309.0
67,62248.0,62248.0,62248.0,62248.0,62248.0,48857.0,48857.0,48857.0,48857.0,48857.0,1371249246.0,1371249246.0,1371249246.0,1371249246.0,0.0,0.0,0.0,0.0,0.08723297430173602,0.04526462394117414,India,1371360351,2020-05-20,62248.0,48857.0,48857.0,67.0,5438.0,134.0,3113.0,111105.0,3435.0,45422.0
68,64685.0,64685.0,64685.0,64685.0,64685.0,52136.0,52136.0,52136.0,52136.0,52136.0,1371243530.0,1371243530.0,1371243530.0,1371243530.0,0.0,0.0,0.0,0.0,0.08251459362017734,0.048654139167013756,India,1371360351,2020-05-21,64685.0,52136.0,52136.0,68.0,5716.0,148.0,3131.0,116821.0,3583.0,48553.0
69,67582.0,67582.0,67582.0,67582.0,67582.0,55558.0,55558.0,55558.0,55558.0,55558.0,1371237211.0,1371237211.0,1371237211.0,1371237211.0,0.0,0.0,0.0,0.0,0.09604915120183928,0.044182034368619276,India,1371360351,2020-05-22,67582.0,55558.0,55558.0,69.0,6319.0,142.0,3280.0,123140.0,3725.0,51833.0
70,71250.0,71250.0,71250.0,71250.0,71250.0,58276.0,58276.0,58276.0,58276.0,58276.0,1371230825.0,1371230825.0,1371230825.0,1371230825.0,0.0,0.0,0.0,0.0,0.09538507993102793,0.054309255809466266,India,1371360351,2020-05-23,71250.0,58276.0,58276.0,70.0,6386.0,142.0,2576.0,129526.0,3867.0,54409.0
71,74481.0,74481.0,74481.0,74481.0,74481.0,61717.0,61717.0,61717.0,61717.0,61717.0,1371224153.0,1371224153.0,1371224153.0,1371224153.0,0.0,0.0,0.0,0.0,0.09939752182095583,0.0503032723895785,India,1371360351,2020-05-24,74481.0,61717.0,61717.0,71.0,6672.0,156.0,3285.0,136198.0,4023.0,57694.0
72,77429.0,77429.0,77429.0,77429.0,77429.0,64879.0,64879.0,64879.0,64879.0,64879.0,1371218043.0,1371218043.0,1371218043.0,1371218043.0,0.0,0.0,0.0,0.0,0.0962823919547041,0.04668691417646424,India,1371360351,2020-05-25,77429.0,64879.0,64879.0,72.0,6110.0,150.0,3012.0,142308.0,4173.0,60706.0
73,79250.0,79250.0,79250.0,79250.0,79250.0,68637.0,68637.0,68637.0,68637.0,68637.0,1371212464.0,1371212464.0,1371212464.0,1371212464.0,0.0,0.0,0.0,0.0,0.07452556754007617,0.0484388619561817,India,1371360351,2020-05-26,79250.0,68637.0,68637.0,73.0,5579.0,173.0,3585.0,147887.0,4346.0,64291.0
74,81831.0,81831.0,81831.0,81831.0,81831.0,72259.0,72259.0,72259.0,72259.0,72259.0,1371206261.0,1371206261.0,1371206261.0,1371206261.0,0.0,0.0,0.0,0.0,0.08185632841739991,0.04759186727091242,India,1371360351,2020-05-27,81831.0,72259.0,72259.0,74.0,6203.0,188.0,3434.0,154090.0,4534.0,67725.0
75,85419.0,85419.0,85419.0,85419.0,85419.0,75606.0,75606.0,75606.0,75606.0,75606.0,1371199326.0,1371199326.0,1371199326.0,1371199326.0,0.0,0.0,0.0,0.0,0.07909449444535308,0.04765654283709236,India,1371360351,2020-05-28,85419.0,75606.0,75606.0,75.0,6935.0,176.0,3171.0,161025.0,4710.0,70896.0
76,81212.0,81212.0,81212.0,81212.0,81212.0,87610.0,87610.0,87610.0,87610.0,87610.0,1371191529.0,1371191529.0,1371191529.0,1371191529.0,0.0,0.0,0.0,0.0,0.08259088879622083,0.06063024214777166,India,1371360351,2020-05-29,81212.0,87610.0,87610.0,76.0,7797.0,269.0,11735.0,168822.0,4979.0,82631.0
77,84698.0,84698.0,84698.0,84698.0,84698.0,92118.0,92118.0,92118.0,92118.0,92118.0,1371183535.0,1371183535.0,1371183535.0,1371183535.0,0.0,0.0,0.0,0.0,0.09174815737661977,0.06060129516391473,India,1371360351,2020-05-30,84698.0,92118.0,92118.0,77.0,7994.0,205.0,4303.0,176816.0,5184.0,86934.0
78,87889.0,87889.0,87889.0,87889.0,87889.0,97268.0,97268.0,97268.0,97268.0,97268.0,1371175194.0,1371175194.0,1371175194.0,1371175194.0,0.0,0.0,0.0,0.0,0.10007400725446752,0.0658216207900293,India,1371360351,2020-05-31,87889.0,97268.0,97268.0,78.0,8341.0,222.0,4928.0,185157.0,5406.0,91862.0
79,91390.0,91390.0,91390.0,91390.0,91390.0,101351.0,101351.0,101351.0,101351.0,101351.0,1371167610.0,1371167610.0,1371167610.0,1371167610.0,0.0,0.0,0.0,0.0,0.08851336667403197,0.06250048022396121,India,1371360351,2020-06-01,91390.0,101351.0,101351.0,79.0,7584.0,201.0,3882.0,192741.0,5607.0,95744.0
80,94665.0,94665.0,94665.0,94665.0,94665.0,106104.0,106104.0,106104.0,106104.0,106104.0,1371159582.0,1371159582.0,1371159582.0,1371159582.0,0.0,0.0,0.0,0.0,0.08586254211334785,0.05898120211923845,India,1371360351,2020-06-02,94665.0,106104.0,106104.0,80.0,8028.0,222.0,4531.0,200769.0,5829.0,100275.0
81,99597.0,99597.0,99597.0,99597.0,99597.0,110152.0,110152.0,110152.0,110152.0,110152.0,1371150602.0,1371150602.0,1371150602.0,1371150602.0,0.0,0.0,0.0,0.0,0.08596017384037372,0.05584727753248175,India,1371360351,2020-06-03,99597.0,110152.0,110152.0,81.0,8980.0,259.0,3789.0,209749.0,6088.0,104064.0
82,104420.0,104420.0,104420.0,104420.0,104420.0,114816.0,114816.0,114816.0,114816.0,114816.0,1371141115.0,1371141115.0,1371141115.0,1371141115.0,0.0,0.0,0.0,0.0,0.0957827778240597,0.043366356716230556,India,1371360351,2020-06-04,104420.0,114816.0,114816.0,82.0,9487.0,274.0,4390.0,219236.0,6362.0,108454.0
83,108709.0,108709.0,108709.0,108709.0,108709.0,119872.0,119872.0,119872.0,119872.0,119872.0,1371131770.0,1371131770.0,1371131770.0,1371131770.0,0.0,0.0,0.0,0.0,0.0923304221044969,0.059685218318398105,India,1371360351,2020-06-05,108709.0,119872.0,119872.0,83.0,9345.0,286.0,4770.0,228581.0,6648.0,113224.0
84,112805.0,112805.0,112805.0,112805.0,112805.0,125602.0,125602.0,125602.0,125602.0,125602.0,1371121944.0,1371121944.0,1371121944.0,1371121944.0,0.0,0.0,0.0,0.0,0.09896557811674998,0.051859201094782634,India,1371360351,2020-06-06,112805.0,125602.0,125602.0,84.0,9826.0,297.0,5433.0,238407.0,6945.0,118657.0
85,117817.0,117817.0,117817.0,117817.0,117817.0,131054.0,131054.0,131054.0,131054.0,131054.0,1371111480.0,1371111480.0,1371111480.0,1371111480.0,0.0,0.0,0.0,0.0,0.08617984128960447,0.06021241677943916,India,1371360351,2020-06-07,117817.0,131054.0,131054.0,85.0,10464.0,261.0,5191.0,248871.0,7206.0,123848.0
86,121684.0,121684.0,121684.0,121684.0,121684.0,136496.0,136496.0,136496.0,136496.0,136496.0,1371102171.0,1371102171.0,1371102171.0,1371102171.0,0.0,0.0,0.0,0.0,0.0908896760627269,0.05233607713556682,India,1371360351,2020-06-08,121684.0,136496.0,136496.0,86.0,9309.0,271.0,5171.0,258180.0,7477.0,129019.0
87,124885.0,124885.0,124885.0,124885.0,124885.0,142402.0,142402.0,142402.0,142402.0,142402.0,1371093064.0,1371093064.0,1371093064.0,1371093064.0,0.0,0.0,0.0,0.0,0.08151309436184767,0.046949771549989694,India,1371360351,2020-06-09,124885.0,142402.0,142402.0,87.0,9107.0,272.0,5634.0,267287.0,7749.0,134653.0
88,128892.0,128892.0,128892.0,128892.0,128892.0,149035.0,149035.0,149035.0,149035.0,149035.0,1371082424.0,1371082424.0,1371082424.0,1371082424.0,0.0,0.0,0.0,0.0,0.08020689772601093,0.05735238364286623,India,1371360351,2020-06-10,128892.0,149035.0,149035.0,88.0,10640.0,358.0,6275.0,277927.0,8107.0,140928.0
89,133885.0,133885.0,133885.0,133885.0,133885.0,155473.0,155473.0,155473.0,155473.0,155473.0,1371070993.0,1371070993.0,1371070993.0,1371070993.0,0.0,0.0,0.0,0.0,0.08442428726686711,0.07274206208801698,India,1371360351,2020-06-11,133885.0,155473.0,155473.0,89.0,11431.0,394.0,6044.0,289358.0,8501.0,146972.0
90,138156.0,138156.0,138156.0,138156.0,138156.0,163124.0,163124.0,163124.0,163124.0,163124.0,1371059071.0,1371059071.0,1371059071.0,1371059071.0,0.0,0.0,0.0,0.0,0.08940923787368504,0.06364014873615839,India,1371360351,2020-06-12,138156.0,163124.0,163124.0,90.0,11922.0,388.0,7263.0,301280.0,8889.0,154235.0
91,142125.0,142125.0,142125.0,142125.0,142125.0,171525.0,171525.0,171525.0,171525.0,171525.0,1371046701.0,1371046701.0,1371046701.0,1371046701.0,0.0,0.0,0.0,0.0,0.08921555094862949,0.04724414859316582,India,1371360351,2020-06-13,142125.0,171525.0,171525.0,91.0,12370.0,309.0,8092.0,313650.0,9198.0,162327.0
92,146396.0,146396.0,146396.0,146396.0,146396.0,179207.0,179207.0,179207.0,179207.0,179207.0,1371034748.0,1371034748.0,1371034748.0,1371034748.0,0.0,0.0,0.0,0.0,0.08863136777219069,0.050180614520895776,India,1371360351,2020-06-14,146396.0,179207.0,179207.0,92.0,11953.0,324.0,7358.0,325603.0,9522.0,169685.0
93,145857.0,145857.0,145857.0,145857.0,145857.0,190242.0,190242.0,190242.0,190242.0,190242.0,1371024252.0,1371024252.0,1371024252.0,1371024252.0,0.0,0.0,0.0,0.0,0.07779673683072764,0.06587942278734553,India,1371360351,2020-06-15,145857.0,190242.0,190242.0,93.0,10496.0,396.0,10639.0,336099.0,9918.0,180324.0
94,147001.0,147001.0,147001.0,147001.0,147001.0,199472.0,199472.0,199472.0,199472.0,199472.0,1371013878.0,1371013878.0,1371013878.0,1371013878.0,0.0,0.0,0.0,0.0,0.06968615956513949,0.053129648659388594,India,1371360351,2020-06-16,147001.0,199472.0,199472.0,94.0,10374.0,2004.0,7226.0,346473.0,11922.0,187550.0
95,152289.0,152289.0,152289.0,152289.0,152289.0,206703.0,206703.0,206703.0,206703.0,206703.0,1371001359.0,1371001359.0,1371001359.0,1371001359.0,0.0,0.0,0.0,0.0,0.079464831099547,0.05569606957747,India,1371360351,2020-06-17,152289.0,206703.0,206703.0,95.0,12519.0,341.0,6890.0,358992.0,12263.0,194440.0
96,154604.0,154604.0,154604.0,154604.0,154604.0,217787.0,217787.0,217787.0,217787.0,217787.0,1370987960.0,1370987960.0,1370987960.0,1370987960.0,0.0,0.0,0.0,0.0,0.08318133813535288,0.06289431219439794,India,1371360351,2020-06-18,154604.0,217787.0,217787.0,96.0,13399.0,343.0,10741.0,372391.0,12606.0,205181.0
97,159625.0,159625.0,159625.0,159625.0,159625.0,227180.0,227180.0,227180.0,227180.0,227180.0,1370973546.0,1370973546.0,1370973546.0,1370973546.0,0.0,0.0,0.0,0.0,0.08617290975150463,0.05002364409788477,India,1371360351,2020-06-19,159625.0,227180.0,227180.0,97.0,14414.0,364.0,9029.0,386805.0,12970.0,214210.0
98,160923.0,160923.0,160923.0,160923.0,160923.0,241462.0,241462.0,241462.0,241462.0,241462.0,1370957966.0,1370957966.0,1370957966.0,1370957966.0,0.0,0.0,0.0,0.0,0.09617552218195277,0.075141537408424,India,1371360351,2020-06-20,160923.0,241462.0,241462.0,98.0,15580.0,308.0,13974.0,402385.0,13278.0,228184.0
99,166711.0,166711.0,166711.0,166711.0,166711.0,250963.0,250963.0,250963.0,250963.0,250963.0,1370942677.0,1370942677.0,1370942677.0,1370942677.0,0.0,0.0,0.0,0.0,0.09280303362561948,0.055282135401302585,India,1371360351,2020-06-21,166711.0,250963.0,250963.0,99.0,15289.0,426.0,9075.0,417674.0,13704.0,237259.0
100,170375.0,170375.0,170375.0,170375.0,170375.0,262154.0,262154.0,262154.0,262154.0,262154.0,1370927822.0,1370927822.0,1370927822.0,1370927822.0,0.0,0.0,0.0,0.0,0.08540140370544613,0.06859680781490964,India,1371360351,2020-06-22,170375.0,262154.0,262154.0,100.0,14855.0,312.0,10879.0,432529.0,14016.0,248138.0
101,174918.0,174918.0,174918.0,174918.0,174918.0,273084.0,273084.0,273084.0,273084.0,273084.0,1370912349.0,1370912349.0,1370912349.0,1370912349.0,0.0,0.0,0.0,0.0,0.08499586232075687,0.06986290600532202,India,1371360351,2020-06-23,174918.0,273084.0,273084.0,101.0,15473.0,468.0,10462.0,448002.0,14484.0,258600.0
102,178147.0,178147.0,178147.0,178147.0,178147.0,286597.0,286597.0,286597.0,286597.0,286597.0,1370895607.0,1370895607.0,1370895607.0,1370895607.0,0.0,0.0,0.0,0.0,0.0920731582531906,0.06677602402858127,India,1371360351,2020-06-24,178147.0,286597.0,286597.0,102.0,16742.0,424.0,13089.0,464744.0,14908.0,271689.0
103,181616.0,181616.0,181616.0,181616.0,181616.0,300981.0,300981.0,300981.0,300981.0,300981.0,1370877754.0,1370877754.0,1370877754.0,1370877754.0,0.0,0.0,0.0,0.0,0.09858685395346534,0.06672980291005275,India,1371360351,2020-06-25,181616.0,300981.0,300981.0,103.0,17853.0,401.0,13983.0,482597.0,15309.0,285672.0
104,189614.0,189614.0,189614.0,189614.0,189614.0,311608.0,311608.0,311608.0,311608.0,311608.0,1370859129.0,1370859129.0,1370859129.0,1370859129.0,0.0,0.0,0.0,0.0,0.09955500134987476,0.07447219132123002,India,1371360351,2020-06-26,189614.0,311608.0,311608.0,104.0,18625.0,381.0,10246.0,501222.0,15690.0,295918.0
105,195213.0,195213.0,195213.0,195213.0,195213.0,326251.0,326251.0,326251.0,326251.0,326251.0,1370838887.0,1370838887.0,1370838887.0,1370838887.0,0.0,0.0,0.0,0.0,0.10315328204781413,0.07033209006241359,India,1371360351,2020-06-27,195213.0,326251.0,326251.0,105.0,20242.0,414.0,14229.0,521464.0,16104.0,310147.0
106,202992.0,202992.0,202992.0,202992.0,202992.0,338266.0,338266.0,338266.0,338266.0,338266.0,1370819093.0,1370819093.0,1370819093.0,1370819093.0,0.0,0.0,0.0,0.0,0.10417763717946817,0.07160468170262808,India,1371360351,2020-06-28,202992.0,338266.0,338266.0,106.0,19794.0,384.0,11631.0,541258.0,16488.0,321778.0
107,207971.0,207971.0,207971.0,207971.0,207971.0,352180.0,352180.0,352180.0,352180.0,352180.0,1370800200.0,1370800200.0,1370800200.0,1370800200.0,0.0,0.0,0.0,0.0,0.09699050372344592,0.06950558706838207,India,1371360351,2020-06-29,207971.0,352180.0,352180.0,107.0,18893.0,417.0,13497.0,560151.0,16905.0,335275.0
108,213437.0,213437.0,213437.0,213437.0,213437.0,365251.0,365251.0,365251.0,365251.0,365251.0,1370781663.0,1370781663.0,1370781663.0,1370781663.0,0.0,0.0,0.0,0.0,0.09235348837117399,0.06428249138741138,India,1371360351,2020-06-30,213437.0,365251.0,365251.0,108.0,18537.0,506.0,12565.0,578688.0,17411.0,347840.0
109,220453.0,220453.0,220453.0,220453.0,220453.0,377753.0,377753.0,377753.0,377753.0,377753.0,1370762145.0,1370762145.0,1370762145.0,1370762145.0,0.0,0.0,0.0,0.0,0.09565746525667326,0.06496269685957058,India,1371360351,2020-07-01,220453.0,377753.0,377753.0,109.0,19518.0,438.0,12064.0,598206.0,17849.0,359904.0
110,222106.0,222106.0,222106.0,222106.0,222106.0,398130.0,398130.0,398130.0,398130.0,398130.0,1370740115.0,1370740115.0,1370740115.0,1370740115.0,0.0,0.0,0.0,0.0,0.09665540477184306,0.0761225647960799,India,1371360351,2020-07-02,222106.0,398130.0,398130.0,110.0,22030.0,378.0,19999.0,620236.0,18227.0,379903.0
111,230764.0,230764.0,230764.0,230764.0,230764.0,412991.0,412991.0,412991.0,412991.0,412991.0,1370716596.0,1370716596.0,1370716596.0,1370716596.0,0.0,0.0,0.0,0.0,0.10064026091302598,0.07100574697865579,India,1371360351,2020-07-03,230764.0,412991.0,412991.0,111.0,23519.0,444.0,14417.0,643755.0,18671.0,394320.0
112,240457.0,240457.0,240457.0,240457.0,240457.0,428348.0,428348.0,428348.0,428348.0,428348.0,1370691546.0,1370691546.0,1370691546.0,1370691546.0,0.0,0.0,0.0,0.0,0.10618976742960123,0.07415691106590651,India,1371360351,2020-07-04,240457.0,428348.0,428348.0,112.0,25050.0,611.0,14746.0,668805.0,19282.0,409066.0
113,248519.0,248519.0,248519.0,248519.0,248519.0,444598.0,444598.0,444598.0,444598.0,444598.0,1370667234.0,1370667234.0,1370667234.0,1370667234.0,0.0,0.0,0.0,0.0,0.10552738184345871,0.0696875875897297,India,1371360351,2020-07-05,248519.0,444598.0,444598.0,113.0,24312.0,421.0,15829.0,693117.0,19703.0,424895.0
114,254947.0,254947.0,254947.0,254947.0,254947.0,460386.0,460386.0,460386.0,460386.0,460386.0,1370645018.0,1370645018.0,1370645018.0,1370645018.0,0.0,0.0,0.0,0.0,0.09551508172186057,0.06686577189474167,India,1371360351,2020-07-06,254947.0,460386.0,460386.0,114.0,22216.0,473.0,15315.0,715333.0,20176.0,440210.0
115,260658.0,260658.0,260658.0,260658.0,260658.0,477701.0,477701.0,477701.0,477701.0,477701.0,1370621992.0,1370621992.0,1370621992.0,1370621992.0,0.0,0.0,0.0,0.0,0.0863951019900904,0.07797583804821967,India,1371360351,2020-07-07,260658.0,477701.0,477701.0,115.0,23026.0,479.0,16836.0,738359.0,20655.0,457046.0
116,266235.0,266235.0,266235.0,266235.0,266235.0,497701.0,497701.0,497701.0,497701.0,497701.0,1370596415.0,1370596415.0,1370596415.0,1370596415.0,0.0,0.0,0.0,0.0,0.09289190001494688,0.06945457557221077,India,1371360351,2020-07-08,266235.0,497701.0,497701.0,116.0,25577.0,492.0,19508.0,763936.0,21147.0,476554.0
117,272771.0,272771.0,272771.0,272771.0,272771.0,517588.0,517588.0,517588.0,517588.0,517588.0,1370569992.0,1370569992.0,1370569992.0,1370569992.0,0.0,0.0,0.0,0.0,0.10127034106981042,0.06838944637210356,India,1371360351,2020-07-09,272771.0,517588.0,517588.0,117.0,26423.0,479.0,19408.0,790359.0,21626.0,495962.0
118,279948.0,279948.0,279948.0,279948.0,279948.0,538397.0,538397.0,538397.0,538397.0,538397.0,1370542006.0,1370542006.0,1370542006.0,1370542006.0,0.0,0.0,0.0,0.0,0.10453721650727174,0.07819568795836346,India,1371360351,2020-07-10,279948.0,538397.0,538397.0,118.0,27986.0,520.0,20289.0,818345.0,22146.0,516251.0
119,287926.0,287926.0,287926.0,287926.0,287926.0,558921.0,558921.0,558921.0,558921.0,558921.0,1370513504.0,1370513504.0,1370513504.0,1370513504.0,0.0,0.0,0.0,0.0,0.10471206472570682,0.07371197056017353,India,1371360351,2020-07-11,287926.0,558921.0,558921.0,119.0,28502.0,543.0,19981.0,846847.0,22689.0,536232.0
120,298726.0,298726.0,298726.0,298726.0,298726.0,577619.0,577619.0,577619.0,577619.0,577619.0,1370484006.0,1370484006.0,1370484006.0,1370484006.0,0.0,0.0,0.0,0.0,0.0977058987713008,0.07847016020219538,India,1371360351,2020-07-12,298726.0,577619.0,577619.0,120.0,29498.0,500.0,18198.0,876345.0,23189.0,554430.0
121,309346.0,309346.0,309346.0,309346.0,309346.0,595843.0,595843.0,595843.0,595843.0,595843.0,1370455162.0,1370455162.0,1370455162.0,1370455162.0,0.0,0.0,0.0,0.0,0.09420615642793385,0.06720267628111887,India,1371360351,2020-07-13,309346.0,595843.0,595843.0,121.0,28844.0,541.0,17683.0,905189.0,23730.0,572113.0
122,317878.0,317878.0,317878.0,317878.0,317878.0,617407.0,617407.0,617407.0,617407.0,617407.0,1370425066.0,1370425066.0,1370425066.0,1370425066.0,0.0,0.0,0.0,0.0,0.0942348529484513,0.07168575140777683,India,1371360351,2020-07-14,317878.0,617407.0,617407.0,122.0,30096.0,587.0,20977.0,935285.0,24317.0,593090.0
123,329880.0,329880.0,329880.0,329880.0,329880.0,638667.0,638667.0,638667.0,638667.0,638667.0,1370391804.0,1370391804.0,1370391804.0,1370391804.0,0.0,0.0,0.0,0.0,0.09851738065102754,0.07556740783000405,India,1371360351,2020-07-15,329880.0,638667.0,638667.0,123.0,33262.0,614.0,20646.0,968547.0,24931.0,613736.0
124,342040.0,342040.0,342040.0,342040.0,342040.0,662214.0,662214.0,662214.0,662214.0,662214.0,1370356097.0,1370356097.0,1370356097.0,1370356097.0,0.0,0.0,0.0,0.0,0.10671466432296073,0.07761926756490428,India,1371360351,2020-07-16,342040.0,662214.0,662214.0,124.0,35707.0,680.0,22867.0,1004254.0,25611.0,636603.0
125,359462.0,359462.0,359462.0,359462.0,359462.0,680366.0,680366.0,680366.0,680366.0,680366.0,1370320523.0,1370320523.0,1370320523.0,1370320523.0,0.0,0.0,0.0,0.0,0.108869995394686,0.07146490675325687,India,1371360351,2020-07-17,359462.0,680366.0,680366.0,125.0,35574.0,676.0,17476.0,1039828.0,26287.0,654079.0
126,373115.0,373115.0,373115.0,373115.0,373115.0,704492.0,704492.0,704492.0,704492.0,704492.0,1370282744.0,1370282744.0,1370282744.0,1370282744.0,0.0,0.0,0.0,0.0,0.10670619107876174,0.06871009672697521,India,1371360351,2020-07-18,373115.0,704492.0,704492.0,126.0,37779.0,543.0,23583.0,1077607.0,26830.0,677662.0
127,390108.0,390108.0,390108.0,390108.0,390108.0,727897.0,727897.0,727897.0,727897.0,727897.0,1370242346.0,1370242346.0,1370242346.0,1370242346.0,0.0,0.0,0.0,0.0,0.1015350392193103,0.07374075644864654,India,1371360351,2020-07-19,390108.0,727897.0,727897.0,127.0,40398.0,675.0,22730.0,1118005.0,27505.0,700392.0
